date,series,open,high,low,prev. close,ltp,close,vwap,52W H,52W L,volume,value,no of trades,date
13-Mar-2023,EQ,94.05,94.9,91.9,94.9,92.0,92.35,93.43,341.6,87.0,"1,14,82,697","1,07,27,83,317.20","57,486",2023-03-13
14-Mar-2023,EQ,92.85,92.95,91.2,92.35,92.9,92.75,92.09,341.6,87.0,"1,42,85,446","1,31,55,02,376.75","51,673",2023-03-14
15-Mar-2023,EQ,93.5,94.25,92.2,92.75,92.45,92.6,93.37,341.6,87.0,"83,18,506","77,66,99,344.45","33,575",2023-03-15
16-Mar-2023,EQ,92.7,92.7,89.65,92.6,92.1,91.9,91.26,341.6,87.0,"1,22,78,142","1,12,05,19,631.30","54,520",2023-03-16
17-Mar-2023,EQ,93.1,94.7,92.9,91.9,93.4,93.4,93.91,341.6,87.0,"1,31,58,718","1,23,57,09,955.60","59,271",2023-03-17
20-Mar-2023,EQ,93.0,93.35,91.75,93.4,92.8,92.65,92.42,341.6,87.0,"65,79,446","60,80,96,285.85","36,131",2023-03-20
21-Mar-2023,EQ,93.0,93.45,92.35,92.65,93.35,93.1,93.09,341.6,87.0,"58,86,671","54,80,04,287.80","24,136",2023-03-21
22-Mar-2023,EQ,93.5,93.95,92.5,93.1,92.85,92.65,92.95,341.6,87.0,"60,96,408","56,66,50,802.90","38,846",2023-03-22
23-Mar-2023,EQ,92.3,92.75,90.85,92.65,92.05,92.1,91.92,341.6,87.0,"99,69,670","91,64,21,012.35","45,878",2023-03-23
24-Mar-2023,EQ,93.95,94.5,91.2,92.1,91.6,91.55,92.62,341.6,87.0,"1,66,50,432","1,54,21,26,614.70","68,025",2023-03-24
27-Mar-2023,EQ,93.1,93.75,91.35,91.55,91.65,91.75,92.41,341.6,87.0,"1,59,59,308","1,47,48,17,808.85","60,628",2023-03-27
28-Mar-2023,EQ,91.75,92.5,90.0,91.75,90.2,90.3,90.74,341.6,87.0,"1,49,99,850","1,36,10,92,171.95","60,874",2023-03-28
29-Mar-2023,EQ,90.2,92.05,89.9,90.3,91.55,91.55,91.2,341.6,87.0,"3,61,03,221","3,29,25,13,370.15","63,243",2023-03-29
31-Mar-2023,EQ,94.25,98.45,94.25,91.55,97.5,97.55,97.43,341.6,87.0,"6,44,55,094","6,27,97,24,678.25","1,55,580",2023-03-31
03-Apr-2023,EQ,98.95,99.0,95.8,97.55,97.0,96.6,96.86,341.6,87.0,"2,41,54,016","2,33,95,41,848.05","81,625",2023-04-03
05-Apr-2023,EQ,95.05,98.45,95.05,96.6,98.2,98.25,97.51,341.6,87.0,"2,48,75,169","2,42,56,62,584.30","87,174",2023-04-05
06-Apr-2023,EQ,97.6,99.0,97.55,98.25,98.85,98.75,98.26,341.6,87.0,"1,14,40,418","1,12,41,64,895.95","47,782",2023-04-06
10-Apr-2023,EQ,98.9,100.55,98.75,98.75,99.9,99.9,99.72,341.6,87.0,"1,08,70,304","1,08,40,07,286.05","53,905",2023-04-10
11-Apr-2023,EQ,100.4,100.95,98.8,99.9,99.9,100.0,99.91,341.6,87.0,"84,58,648","84,50,90,999.40","41,087",2023-04-11
